PROTOCOLS,TIMESPAN,VOLUME
uniswap,2022-08-15,10766125999
sunswap,2022-08-15,230556845
sushiswap,2022-08-15,513022277
curve,2022-08-15,3143964982
sunswap,2022-08-22,207407696
uniswap,2022-08-22,9251343682
sushiswap,2022-08-22,365532956
biswap,2022-08-22,213940290
curve,2022-08-22,2897244557
spookyswap,2022-08-22,82649332
astroport classic,2022-08-22,1434761167
trader joe dex,2022-08-22,105402760
pancakeswap,2022-08-22,1632960390
dodo,2022-08-22,1216452974
dodo,2022-08-29,1227354770
spookyswap,2022-08-29,53779937
sushiswap,2022-08-29,323921799
curve,2022-08-29,3048613162
sunswap,2022-08-29,183527527
trader joe dex,2022-08-29,87235781
biswap,2022-08-29,216839512
uniswap,2022-08-29,9332679218
astroport classic,2022-08-29,1434761167
pancakeswap,2022-08-29,1644202174
astroport classic,2022-09-05,1434761167
uniswap,2022-09-05,8610486184
biswap,2022-09-05,209048298
sunswap,2022-09-05,165026730
curve,2022-09-05,2854891337
trader joe dex,2022-09-05,114597903
dodo,2022-09-05,1258211213
pancakeswap,2022-09-05,1533495741
spookyswap,2022-09-05,56876884
sushiswap,2022-09-05,374593453
trader joe dex,2022-09-12,111431407
uniswap,2022-09-12,9127753999
pancakeswap,2022-09-12,1416226771
curve,2022-09-12,3286017410
sushiswap,2022-09-12,287582154
spookyswap,2022-09-12,63050916
biswap,2022-09-12,246346210
sunswap,2022-09-12,164667793
dodo,2022-09-12,1236962926
astroport classic,2022-09-12,1434761167
trader joe dex,2022-09-19,71790082
curve,2022-09-19,2478258929
spookyswap,2022-09-19,60598657
