LIQUIDITY_PROVIDER,ADDED_USD_LIQ,-REMOVED_USD_LIQ,NET_USD_LIQ,ADDED_TOKEN0_USD,-REMOVED_TOKEN0_USD,NET_TOKEN0_USD,ADDED_TOKEN1_USD,-REMOVED_TOKEN1_USD,NET_TOKEN1_USD
0x8dbe8722557b97a956bac439858d107108cf7b8a,55644077.5262232,-44149888.5146493,11494189.0115739,26092326.6736875,-23823282.2570319,2269044.41665563,29551750.8525357,-20326606.2576174,9225144.59491825
0xe8e8f41ed29e46f34e206d7d2a7d6f735a3ff2cb,52520379.3425095,-41141041.8873402,11379337.4551693,4090063.51464082,-2746286.82428863,1343776.69035219,48430315.8278687,-38394755.0630516,10035560.7648171
0x4b296808f414ab3775889fa2863e1d73f958a58e,37741967.6729687,-26391191.6360838,11350776.0368849,21246544.6475686,-14965893.2061336,6280651.44143509,16495423.0254,-11425298.4299502,5070124.59544979
0x7d543ba5314f0a46de2c2d2cb52c61bc2f9f3619,27968727.0631358,-16702007.543761,11266719.5193747,12355698.1225023,-7069080.88051941,5286617.24198293,15651696.6575317,-9632926.66324161,6018769.99429006
0x8264ff2de194acbd7a34f2fc557195b5aa43f826,62326119.7453097,-51254718.3849235,11071401.3603863,61653775.3957048,-50588825.6495652,11064949.7461396,696343.753808527,-665892.735358269,30451.018450258
0x2f591ddf47366c899bab6c9e73668898fbc47d75,707019549.396431,-696161138.979921,10858410.4165101,385251337.998593,-391321051.536935,-6069713.53834146,321768211.397837,-304840087.442986,16928123.9548515
0xd86d40ccbc02ea258c442185bf16f16d6336fc1b,32623898.0372396,-22049570.039395,10574327.9978446,16632775.4806059,-11066434.046692,5566341.43391392,15991122.5566337,-10983135.992703,5007986.56393069
0x342bf4e93930b576b24df05b44dd845305d87e0d,44180242.0352795,-33607786.2225003,10572455.8127792,22634907.4946023,-17310000.1730056,5324907.32159672,21545334.5406772,-16297786.0494948,5247548.49118249
0x6f1c28c40b5fed4fb546f85959ae2f7c16365cad,277411091.284548,-266892616.790403,10518474.4941452,241515049.860263,-242114929.605715,-599879.745452315,35896041.4242857,-24777687.1846883,11118354.2395974
0x60d552f33b029547e39ff1e82ad26649ccd3b88a,194756679.548124,-184245366.995729,10511312.5523951,38199945.8817963,-29840322.9583247,8359622.92347161,156556733.666327,-154405044.037404,2151689.62892348
0xbcf8b160c6df9c5a3b2edfbe3e6520982398e68d,10505039.5204349,0,10505039.5204349,5261886.96278721,0,5261886.96278721,5243152.55764768,0,5243152.55764768
0xecc6b71b294cd4e1baf87e95fb1086b835bb4eba,133055160.199658,-122759865.765166,10295294.4344916,70499398.8379079,-67968173.8424665,2531224.99544147,62555761.3617497,-54791691.9226996,7764069.43905006
0x26fcbd3afebbe28d0a8684f790c48368d21665b5,148570990.705356,-138305685.554073,10265305.1512822,135843247.798499,-126686969.949615,9156277.8488849,12727742.9068562,-11618715.6044588,1109027.30239731
0x9532e6e97ad5c8d20d8b6526ff440150f20b4076,20453327.2784646,-10255644.1467431,10197683.1317215,9501200.92670359,-4776803.64498354,4724397.28172005,10952126.351761,-5478840.50175954,5473285.85000149
0x21d3aa7e4e1a9734d65ff2c85317e078583a3d7d,13812409.1423192,-3690461.94381149,10121947.1985077,1672533.64055166,-252702.536706269,1419831.10384539,12139875.5017675,-3437759.40710522,8702116.09466229
0x65e5017a384b2774374812dc766fc4e026bb23e5,29650467.3144496,-19639800.0565995,10010667.2578501,20337819.0959173,-11557017.3568339,8780801.73908338,9312648.21853234,-10782598.536421,-1469950.31788862
0x9c77531e0ce83d0246b0a1ee1cb1aea2dba031b7,10045168.7091147,-54039.593216151,9991129.11589852,10045149.5511147,-53947.699487076,9991201.8516276,627.694704509,-499.469655199,128.22504931
0x3b94e9fa105551b700e4965bf13db3153bb26557,21094462.3619639,-11213127.8397277,9881334.52223615,11701744.1376502,-5799063.37787615,5902680.759774,9392718.22431372,-5414064.46185157,3978653.76246214
0x3ac64dff38bb89ef985cd2cf6efd619389bb0b38,9893368.33797346,-80780.690762799,9812587.64721066,9891946.37814982,-79159.192993888,9812787.18515593,1421.959823644,-1621.497768911,-199.537945267
0x005fb56fe0401a4017e6f046272da922bbf8df06,15857761.2263737,-6072802.59179587,9784958.63457787,8326324.26602308,-3579189.37190987,4747134.89411321,7531436.96035066,-2493613.219886,5037823.74046466
0x66a12885f5df191e2b177e18bec643fe056d0d4d,59510553.26723,-49727921.479987,9782631.78724305,20319895.1824356,-18906424.7566703,1413470.42576528,39190658.0847944,-30821496.7233167,8369161.36147774
﻿
