TIMESPAN,ADDED_USD_LIQ,-REMOVED_USD_LIQ,NET_USD_LIQ,CUMUL_NET_USD_LIQ,ADDED_TOKEN0_USD,-REMOVED_TOKEN0_USD,NET_TOKEN0_USD,ADDED_TOKEN1_USD,-REMOVED_TOKEN1_USD,NET_TOKEN1_USD
2022-04-04 00:00:00.000,4472573498.95132,-4364804846.64713,107768652.304186,8469767100.11014,2580033108.06642,-2522652385.20259,57380722.8638268,2345676988.7696,-2289571226.47518,56105762.2944241
2022-04-11 00:00:00.000,5727752719.91678,-5757394206.35337,-29641486.4365883,8440125613.67356,2610973195.24084,-2564367155.55789,46606039.6829472,3205615587.45997,-3302885983.45464,-97270395.9946723
2022-04-18 00:00:00.000,4317359633.28141,-4288704692.70302,28654940.5783892,8468780554.25195,1964855299.69887,-1939967746.31289,24887553.3859823,2357696493.09755,-2355878811.9454,1817681.15214443
2022-04-25 00:00:00.000,5702220097.91189,-5635784378.21,66435719.7018881,8535216273.95383,2244536801.06387,-2178564477.00275,65972324.0611186,3464542338.39294,-3461535778.31315,3006560.07979441
2022-05-02 00:00:00.000,7329619074.5441,-7187623274.83445,141995799.709648,8677212073.66348,3259331424.94782,-3196789929.09785,62541495.8499713,4080366354.99062,-4001983455.99231,78382898.9983149
2022-05-09 00:00:00.000,11586422895.9305,-11933138493.1746,-346715597.244104,8330496476.41938,5281591985.69492,-5256156430.08048,25435555.6144409,6311444371.35479,-6682940523.4559,-371496152.101112
2022-05-16 00:00:00.000,14405301650.0106,-14043944810.1901,361356839.820509,8691853316.23989,6153007910.82059,-5924934087.18102,228073823.639566,8254482357.42815,-8122399419.14666,132082938.281488
2022-05-23 00:00:00.000,12977254139.48,-12918234566.8482,59019572.6317806,8750872888.87167,5535623534.46012,-5410739561.74769,124883972.712435,7446635218.72935,-7512786119.91477,-66150901.1854181
2022-05-30 00:00:00.000,12477353223.279,-12339371070.847,137982152.431965,8888855041.30363,5848318813.80086,-5794231724.75416,54087089.0466976,6643960807.20717,-6559632080.02553,84328727.1816425
2022-06-06 00:00:00.000,15599525697.2963,-15533518165.4974,66007531.7988815,8954862573.10251,7120035455.8836,-7014169889.38149,105865566.502113,8493479915.92954,-8531548947.4991,-38069031.5695581
2022-06-13 00:00:00.000,38802210950.0244,-38827766038.6695,-25555088.645134,8929307484.45738,18121601750.3741,-18126742602.6856,-5140852.31149673,20681693856.2297,-20701916799.6099,-20222943.3801498
2022-06-20 00:00:00.000,19439678748.5316,-19261198562.802,178480185.729588,9107787670.18697,9394355962.73259,-9296731633.7753,97624328.9572849,10046563617.132,-9964986533.4968,81577083.6351986
2022-06-27 00:00:00.000,24367308698.6593,-24266461369.51,100847329.149307,9208634999.33628,12313933315.8293,-12218302138.4586,95631177.3707523,12054037785.5326,-12049096092.9267,4941692.60584641
2022-07-04 00:00:00.000,27606183026.9519,-27710087665.2435,-103904638.291603,9104730361.04467,14114299478.403,-14167246606.8907,-52947128.4877605,13492350159.4528,-13543374502.3377,-51024342.884882
2022-07-11 00:00:00.000,29246264893.0612,-29091161583.499,155103309.562164,9259833670.60684,15441221766.5601,-15357079968.8198,84141797.7402515,13825024780.4244,-13734585131.0623,90439649.3621807
2022-07-18 00:00:00.000,46810763288.6484,-46523034286.1785,287729002.469971,9547562673.07681,23770134899.4365,-23743498499.0435,26636400.3929749,23050778874.7828,-22786252052.1177,264526822.665066
2022-07-25 00:00:00.000,37281072176.3932,-37147879435.5894,133192740.803802,9680755413.88061,18125276477.4744,-18074198747.1882,51077730.2861786,19161537765.8638,-19079654294.3139,81883471.5498886
2022-08-01 00:00:00.000,52841206462.9957,-54724437770.0276,-1883231307.03185,7797524106.84876,31497170006.7043,-33416080211.6101,-1918910204.90574,21349217663.288,-21322382705.7889,26834957.4990692
2022-08-08 00:00:00.000,51965394805.7864,-52308975228.9022,-343580423.115791,7453943683.73297,24969740968.5752,-25243048386.3329,-273307417.757633,26997168935.0357,-27067141046.2077,-69972111.1720505
2022-08-15 00:00:00.000,70309052076.9421,-70391904591.4675,-82852514.5253601,7371091169.20761,35161244680.4701,-35193731805.6337,-32487125.1636353,35152220538.8713,-35201847162.3488,-49626623.4774628
2022-08-22 00:00:00.000,45322621601.8367,-45353896448.8013,-31274846.9645996,7339816322.24301,23311293880.5521,-23297879262.8202,13414617.7319374,22015795037.3383,-22057017923.9208,-41222886.5824394
2022-08-29 00:00:00.000,62652837089.0262,-62623686405.5729,29150683.4532928,7368967005.69631,31321893264.91,-31386225184.2559,-64331919.3458252,31331933794.7415,-31238414336.6791,93519458.0623741
2022-09-05 00:00:00.000,34689956689.5075,-34909864388.2169,-219907698.709396,7149059306.98691,18047789508.7333,-18249772812.3976,-201983303.664322,16643672831.0063,-16660853854.7391,-17181023.7327118
2022-09-12 00:00:00.000,54419842407.9771,-54446616862.5128,-26774454.5356293,7122284852.45128,27542279983.7967,-27510694973.0823,31585010.714447,26878727702.9272,-26937339449.114,-58611746.1867981
2022-09-19 00:00:00.000,68204041357.2106,-68068108628.7563,135932728.454315,7258217580.9056,35155402796.8282,-35062943305.8058,92459491.0224304,33051367845.1979,-33006684572.1448,44683273.0531197
2022-09-26 00:00:00.000,42961561503.2251,-42937476291.2915,24085211.9336014,7282302792.8392,23174014163.7553,-23163081871.7171,10932292.038166,19788158837.0335,-19775104889.86,13053947.1735229
